,club_name,link,ranking,puntos
0,FC Barcelona,https://footballdatabase.com/clubs-ranking/fc-barcelona,13,1833
1,Real Madrid CF,https://footballdatabase.com/clubs-ranking/real-madrid,4,1980
2,FC Bayern München,https://footballdatabase.com/clubs-ranking/bayern-munchen,1,2089
3,Paris Saint-Germain,https://footballdatabase.com/clubs-ranking/paris-saint-germain,8,1907
4,Manchester United,https://footballdatabase.com/clubs-ranking/manchester-united,15,1813
5,Chelsea,https://footballdatabase.com/clubs-ranking/chelsea-london,7,1922
6,Manchester City,https://footballdatabase.com/clubs-ranking/manchester-city,2,2015
7,Arsenal,https://footballdatabase.com/clubs-ranking/arsenal-london,19,1799
8,Borussia Dortmund,https://footballdatabase.com/clubs-ranking/borussia-dortmund,18,1805
9,Juventus,https://footballdatabase.com/clubs-ranking/juventus-turin,9,1877
10,Tottenham Hotspur,https://footballdatabase.com/clubs-ranking/tottenham-hotspur,28,1753
11,Roma,https://footballdatabase.com/clubs-ranking/roma,38,1725
12,Galatasaray SK,https://footballdatabase.com/clubs-ranking/galatasaray,240,1527
13,Atlético de Madrid,https://footballdatabase.com/clubs-ranking/atletico-madrid,16,1809
14,FC Schalke 04,https://footballdatabase.com/clubs-ranking/schalke-04,659,1400
15,Napoli,https://footballdatabase.com/clubs-ranking/ssc-napoli,10,1857
16,AS Monaco,https://footballdatabase.com/clubs-ranking/monaco,54,1687
17,Inter,https://footballdatabase.com/clubs-ranking/inter-milan,6,1945
18,Valencia CF,https://footballdatabase.com/clubs-ranking/valencia,64,1672
19,AC Milan,https://footballdatabase.com/clubs-ranking/ac-milan,12,1841
20,PFC CSKA Moscow,https://footballdatabase.com/clubs-ranking/cska-moskva,171,1558
21,AS Saint-Étienne,https://footballdatabase.com/clubs-ranking/saint-etienne,440,1451
22,Zenit St. Petersburg,https://footballdatabase.com/clubs-ranking/zenit-petersburg,53,1690
23,Liverpool,https://footballdatabase.com/clubs-ranking/liverpool-fc-liverpool,3,2007
24,Lazio,https://footballdatabase.com/clubs-ranking/lazio,32,1747
25,Fiorentina,https://footballdatabase.com/clubs-ranking/fiorentina,86,1628
26,Everton,https://footballdatabase.com/clubs-ranking/everton-fc-liverpool,165,1561
27,SL Benfica,https://footballdatabase.com/clubs-ranking/benfica,24,1774
28,Hamburger SV,https://footballdatabase.com/clubs-ranking/hamburger-sv,211,1539
29,Fenerbahçe SK,https://footballdatabase.com/clubs-ranking/fenerbahce,195,1545
30,Olympique de Marseille,https://footballdatabase.com/clubs-ranking/olympique-marseille,62,1676
31,Real Sociedad,https://footballdatabase.com/clubs-ranking/real-sociedad-san-sebastian,45,1709
32,Stoke City,https://footballdatabase.com/clubs-ranking/stoke-city,243,1526
33,VfL Wolfsburg,https://footballdatabase.com/clubs-ranking/wolfsburg,169,1559
34,Bayer 04 Leverkusen,https://footballdatabase.com/clubs-ranking/bayer-leverkusen,23,1787
35,FC Porto,https://footballdatabase.com/clubs-ranking/fc-porto,11,1845
36,,https://footballdatabase.com/clubs-ranking/bec-tero-sasana,1479,1297
37,FC Girondins de Bordeaux,https://footballdatabase.com/clubs-ranking/bordeaux,449,1448
38,Sporting CP,https://footballdatabase.com/clubs-ranking/sporting,22,1792
39,Beşiktaş JK,https://footballdatabase.com/clubs-ranking/besiktas,263,1513
40,Brøndby IF,https://footballdatabase.com/clubs-ranking/brondby,347,1477
41,Seattle Sounders FC,https://footballdatabase.com/clubs-ranking/seattle-sounders-fc,398,1462
42,FC Lokomotiv Moscow,https://footballdatabase.com/clubs-ranking/lokomotiv-moskva,196,1544
43,Villarreal CF,https://footballdatabase.com/clubs-ranking/villarreal,20,1795
44,Dinamo Moscow,https://footballdatabase.com/clubs-ranking/dinamo-moskva,172,1558
45,Sevilla FC,https://footballdatabase.com/clubs-ranking/sevilla,14,1827
46,Athletic Club de Bilbao,https://footballdatabase.com/clubs-ranking/athletic-bilbao,49,1700
47,Swansea City,https://footballdatabase.com/clubs-ranking/swansea-city,259,1515
48,TSG Hoffenheim,https://footballdatabase.com/clubs-ranking/hoffenheim,68,1667
49,Parma,https://footballdatabase.com/clubs-ranking/parma,741,1385
50,Gallos Blancos de Querétaro,https://footballdatabase.com/clubs-ranking/queretaro-gallos,713,1390
51,Toronto FC,https://footballdatabase.com/clubs-ranking/toronto-fc,1232,1321
52,Melbourne City FC,https://footballdatabase.com/clubs-ranking/melbourne-city-fc,801,1373
53,LOSC Lille,https://footballdatabase.com/clubs-ranking/lille,44,1711
54,Málaga CF,https://footballdatabase.com/clubs-ranking/malaga,460,1446
55,Borussia Mönchengladbach,https://footballdatabase.com/clubs-ranking/borussia-monchengladbach,95,1619
56,West Ham United,https://footballdatabase.com/clubs-ranking/west-ham-united,31,1748
57,Southampton,https://footballdatabase.com/clubs-ranking/southampton,103,1614
58,RCD Espanyol de Barcelona,https://footballdatabase.com/clubs-ranking/espanyol,177,1555
59,Aston Villa,https://footballdatabase.com/clubs-ranking/aston-villa,72,1654
60,Trabzonspor,https://footballdatabase.com/clubs-ranking/trabzonspor,101,1616
61,Spartak Moskva,https://footballdatabase.com/clubs-ranking/spartak-moskva,198,1544
62,Eintracht Frankfurt,https://footballdatabase.com/clubs-ranking/eintracht-frankfurt,39,1718
63,Shakhtar Donetsk,https://footballdatabase.com/clubs-ranking/shakhtar-donetsk,41,1714
64,Olympique Lyonnais,https://footballdatabase.com/clubs-ranking/lyon,47,1703
65,LA Galaxy,https://footballdatabase.com/clubs-ranking/los-angeles-galaxy,1087,1336
66,Queens Park Rangers,https://footballdatabase.com/clubs-ranking/queens-park-rangers,451,1448
67,Newcastle United,https://footballdatabase.com/clubs-ranking/newcastle-united,166,1560
68,Hull City,https://footballdatabase.com/clubs-ranking/hull-city,376,1470
69,West Bromwich Albion,https://footballdatabase.com/clubs-ranking/west-brom,344,1478
70,VfB Stuttgart,https://footballdatabase.com/clubs-ranking/vfb-stuttgart,231,1530
71,Hertha BSC,https://footballdatabase.com/clubs-ranking/hertha-berlin,189,1549
72,Hannover 96,https://footballdatabase.com/clubs-ranking/hannover-96,526,1429
73,Getafe CF,https://footballdatabase.com/clubs-ranking/getafe,88,1624
74,Torino F.C.,https://footballdatabase.com/clubs-ranking/torino,106,1611
75,Ajax,https://footballdatabase.com/clubs-ranking/ajax-amsterdam,5,1949
76,New York Red Bulls,https://footballdatabase.com/clubs-ranking/new-york-red-bulls,671,1397
77,Real Betis Balompié,https://footballdatabase.com/clubs-ranking/real-betis,37,1727
78,Udinese Calcio,https://footballdatabase.com/clubs-ranking/udinese,132,1587
79,Jeonbuk Hyundai Motors,https://footballdatabase.com/clubs-ranking/jeonbuk-fc,91,1621
80,Leicester City,https://footballdatabase.com/clubs-ranking/leicester-city,59,1678
81,Racing Club,https://footballdatabase.com/clubs-ranking/racing-club-avellaneda,124,1596
82,Stade Rennais FC,https://footballdatabase.com/clubs-ranking/rennes,80,1635
83,U.S. Sassuolo Calcio,https://footballdatabase.com/clubs-ranking/sassuolo,93,1620
84,Granada CF,https://footballdatabase.com/clubs-ranking/granada,143,1578
85,Fulham,https://footballdatabase.com/clubs-ranking/fulham,418,1457
86,PSV,https://footballdatabase.com/clubs-ranking/psv-eindhoven,46,1706
87,Olympiacos CFP,No disponible,No disponible,No disponible
88,Al Hilal,https://footballdatabase.com/clubs-ranking/al-hilal,63,1674
89,FC Krasnodar,https://footballdatabase.com/clubs-ranking/fc-krasnodar,205,1541
90,FC Metz,https://footballdatabase.com/clubs-ranking/metz,486,1439
91,Newell's Old Boys,https://footballdatabase.com/clubs-ranking/newells-old-boys,350,1476
92,Real Valladolid CF,https://footballdatabase.com/clubs-ranking/valladolid,273,1509
93,Levante Unión Deportiva,https://footballdatabase.com/scores/2021-08-14,No disponible,No disponible
94,New England Revolution,https://footballdatabase.com/clubs-ranking/new-england-revolution,485,1439
95,FC Augsburg,https://footballdatabase.com/clubs-ranking/augsburg,155,1569
96,Stade de Reims,https://footballdatabase.com/clubs-ranking/reims,222,1534
97,Atalanta,https://footballdatabase.com/clubs-ranking/atalanta,21,1795
98,Montpellier Hérault SC,No disponible,No disponible,No disponible
99,Rayo Vallecano,https://footballdatabase.com/clubs-ranking/rayo-vallecano,118,1602
100,Norwich City,https://footballdatabase.com/clubs-ranking/norwich-city,547,1424
101,Kaizer Chiefs,https://footballdatabase.com/clubs-ranking/kaizer-chiefs,536,1427
102,Sunderland,https://footballdatabase.com/clubs-ranking/sunderland,514,1432
103,1. FC Köln,https://footballdatabase.com/clubs-ranking/koln,82,1634
104,U.C. Sampdoria,https://footballdatabase.com/clubs-ranking/sampdoria,163,1562
105,Feyenoord,https://footballdatabase.com/clubs-ranking/feyenoord,67,1668
106,Portland Timbers,https://footballdatabase.com/clubs-ranking/portland-timbers,497,1437
107,Panathinaikos FC,https://footballdatabase.com/clubs-ranking/panathinaikos,304,1495
108,RC Celta de Vigo,https://footballdatabase.com/clubs-ranking/celta-vigo,42,1714
109,Demir Grup Sivasspor,No disponible,No disponible,No disponible
110,Al Shabab,https://footballdatabase.com/clubs-ranking/al-shabab-riyadh,323,1485
111,Al Ittihad,https://footballdatabase.com/clubs-ranking/al-ittihad-jeddah,311,1490
112,Vélez Sarsfield,https://footballdatabase.com/clubs-ranking/velez-sarsfield,96,1618
113,Kuban Krasnodar,https://footballdatabase.com/clubs-ranking/kuban-krasnodar,620,1406
114,1. FSV Mainz 05,https://footballdatabase.com/clubs-ranking/mainz-05,75,1643
115,FC Red Bull Salzburg,https://footballdatabase.com/clubs-ranking/salzburg,33,1746
116,FC Nantes,https://footballdatabase.com/clubs-ranking/nantes,176,1556
117,Toulouse Football Club,https://footballdatabase.com/clubs-ranking/toulouse,1391,1304
118,Sport-Club Freiburg,https://footballdatabase.com/scores/2020-02-02,No disponible,No disponible
119,SC Braga,https://footballdatabase.com/clubs-ranking/braga,77,1636
120,Elche CF,https://footballdatabase.com/clubs-ranking/elche,115,1603
121,Bursaspor,https://footballdatabase.com/clubs-ranking/bursaspor,781,1376
122,Real Salt Lake,https://footballdatabase.com/clubs-ranking/real-salt-lake,969,1350
123,FC Basel 1893,https://footballdatabase.com/clubs-ranking/basel,131,1589
124,Hellas Verona,https://footballdatabase.com/clubs-ranking/hellas-verona,90,1621
125,1. FC Nürnberg,https://footballdatabase.com/clubs-ranking/nurnberg,705,1391
126,Colo-Colo,https://footballdatabase.com/clubs-ranking/colo-colo,317,1488
127,Boca Juniors,https://footballdatabase.com/clubs-ranking/boca-juniors,66,1668
128,Club América,https://footballdatabase.com/clubs-ranking/america-aguilas,144,1577
129,OGC Nice,https://footballdatabase.com/clubs-ranking/nice,83,1631
130,Columbus Crew,https://footballdatabase.com/clubs-ranking/columbus-crew,672,1397
131,RSC Anderlecht,https://footballdatabase.com/clubs-ranking/anderlecht,227,1531
132,SV Werder Bremen,https://footballdatabase.com/clubs-ranking/werder-bremen,301,1496
133,Club de Foot Montréal,No disponible,No disponible,No disponible
134,Cardiff City,https://footballdatabase.com/clubs-ranking/cardiff-city,367,1472
135,Celtic,https://footballdatabase.com/clubs-ranking/celtic,56,1683
136,Çaykur Rizespor,https://footballdatabase.com/clubs-ranking/rizespor,1079,1337
137,Vancouver Whitecaps FC,https://footballdatabase.com/clubs-ranking/vancouver-whitecaps,1093,1336
138,Genoa,https://footballdatabase.com/clubs-ranking/genoa,325,1485
139,Rubin Kazan,https://footballdatabase.com/clubs-ranking/rubin-kazan,373,1471
140,Al Nassr,https://footballdatabase.com/clubs-ranking/al-nassr-fc-riyadh,182,1553
141,Deportivo de La Coruña,https://footballdatabase.com/clubs-ranking/deportivo-la-coruna,322,1486
142,Crystal Palace,https://footballdatabase.com/clubs-ranking/crystal-palace,111,1606
143,FC Lorient,https://footballdatabase.com/clubs-ranking/lorient,490,1439
144,River Plate,https://footballdatabase.com/clubs-ranking/river-plate-buenos-aires,27,1758
145,San Lorenzo de Almagro,https://footballdatabase.com/clubs-ranking/san-lorenzo,351,1476
146,SD Eibar,https://footballdatabase.com/clubs-ranking/sd-eibar,257,1517
147,CA Osasuna,https://footballdatabase.com/clubs-ranking/osasuna,100,1616
148,Gaziantepspor,https://footballdatabase.com/clubs-ranking/gaziantepspor,1558,1291
149,PAOK,https://footballdatabase.com/clubs-ranking/paok-thessaloniki-fc,85,1629
150,Cruz Azul,https://footballdatabase.com/clubs-ranking/cruz-azul,170,1559
151,Club Tijuana,https://footballdatabase.com/clubs-ranking/tijuana-xolos,692,1393
152,Eskişehirspor,https://footballdatabase.com/clubs-ranking/eskisehirspor,1010,1346
153,Kasimpaşa SK,https://footballdatabase.com/clubs-ranking/kasimpasa,640,1404
154,Chievo Verona,https://footballdatabase.com/clubs-ranking/chievo-verona,777,1377
155,Évian Thonon Gaillard FC,No disponible,No disponible,No disponible
156,Tigres U.A.N.L.,https://footballdatabase.com/clubs-ranking/tigres-uanl,110,1607
157,Vitesse,https://footballdatabase.com/clubs-ranking/vitesse,213,1537
158,PEC Zwolle,https://footballdatabase.com/clubs-ranking/pec-zwolle,979,1350
159,Estoril Praia,https://footballdatabase.com/clubs-ranking/estoril,587,1413
